date,firm_id,equity_price
2020-01-29,JPM,114.49
2020-01-30,JPM,115.91
2020-01-31,JPM,112.89
2020-02-03,JPM,113.76
2020-02-04,JPM,115.39
2020-02-05,JPM,117.36
2020-02-06,JPM,117.37
2020-02-07,JPM,117.0
2020-02-10,JPM,117.48
2020-02-11,JPM,117.71
2020-02-12,JPM,117.71
2020-02-13,JPM,117.6
2020-02-14,JPM,117.24
2020-02-18,JPM,115.69
2020-02-19,JPM,117.27
2020-02-20,JPM,117.27
2020-02-21,JPM,115.84
2020-02-24,JPM,112.72
2020-02-25,JPM,107.69
2020-02-26,JPM,108.02
2020-02-27,JPM,103.52
2020-02-28,JPM,99.03
2020-03-02,JPM,103.65
2020-03-03,JPM,99.76
2020-03-04,JPM,102.22
2020-03-05,JPM,97.21
2020-03-06,JPM,92.19
2020-03-09,JPM,79.7
2020-03-10,JPM,85.89
2020-03-11,JPM,81.85
2020-03-12,JPM,75.1
2020-03-13,JPM,88.63
2020-03-16,JPM,75.37
2020-03-17,JPM,79.97
2020-03-18,JPM,71.55
2020-03-19,JPM,72.76
2020-03-20,JPM,71.22
2020-03-23,JPM,67.41
2020-03-24,JPM,75.43
2020-03-25,JPM,78.24
2020-03-26,JPM,83.69
2020-03-27,JPM,77.73
2020-03-30,JPM,79.75
2020-03-31,JPM,76.79
2020-04-01,JPM,71.95
2020-04-02,JPM,74.64
2020-04-03,JPM,72.43
2020-04-06,JPM,77.1
2020-04-07,JPM,78.11
2020-04-08,JPM,81.27
2020-04-09,JPM,88.56
2020-04-13,JPM,84.62
2020-04-14,JPM,82.3
2020-04-15,JPM,78.24
2020-04-16,JPM,75.26
2020-04-17,JPM,82.03
2020-04-20,JPM,79.04
2020-04-21,JPM,76.74
2020-04-22,JPM,76.99
2020-04-23,JPM,77.04
2020-04-24,JPM,78.17
2020-04-27,JPM,81.54
2020-04-28,JPM,82.12
2020-04-29,JPM,84.34
2020-04-30,JPM,82.53
2020-05-01,JPM,80.36
2020-05-04,JPM,79.41
2020-05-05,JPM,79.29
2020-05-06,JPM,77.79
2020-05-07,JPM,78.6
2020-05-08,JPM,79.89
2020-05-11,JPM,77.54
2020-05-12,JPM,75.0
2020-05-13,JPM,72.42
2020-05-14,JPM,75.42
2020-05-15,JPM,74.03
2020-05-18,JPM,77.95
2020-05-19,JPM,76.42
2020-05-20,JPM,78.71
2020-05-21,JPM,77.71
2020-05-22,JPM,77.11
2020-05-26,JPM,82.58
2020-05-27,JPM,87.36
2020-05-28,JPM,86.06
2020-05-29,JPM,83.86
2020-06-01,JPM,84.97
2020-06-02,JPM,85.26
2020-06-03,JPM,89.86
2020-06-04,JPM,91.73
2020-06-05,JPM,95.86
2020-06-08,JPM,97.77
